;Deutschland;England;Frankreich;Spanien;Italien;Niederlande;Schweden;Portugal
;Englischgrün;English green;Vert anglais;Verde inglés;Verde inglese;Engels groen;Engelskgrön;Verde inglês
;Flanellgrau;Flannel grey;Gris flanelle;Gris franela;Grigio flanella;Flanelgrijs;Flanellgrå;Cinzento flanela
;Flanellgrau/Basaltgrau;Flannel grey/basalt grey;Gris flanelle/gris basalte;Gris franela/Gris basalto;Grigio flanella/grigio basalto;Flanelgrijs/basaltgrijs;Flanellgrå/basaltgrå;Cinzento flanela/cinzento basalto
;Creambeige;Cream beige;Beige crème;Beige crema;Beige crema;Crème beige;Creambeige;Bege Cream
;Traumrot;Dream red;Rouge rêve;Rojo sueño;Rosso sogno;Traumrood;Drömröd;Vermelho sonho
;Brombeer;Blackberry;Mûre;Mora;More;Bramen;Björnbär;Amora
;Hellbeige;Light beige;Beige clair;Beige claro;Beige chiaro;Licht beige;Ljusbeige;Bege claro
;Lavanda;Lavender;Lavande;Lavanda;Lavanda;Lavanda;Lavanda;Lavanda
;Burgund;Burgund;Burgund;Burgund;Burgund;Burgund;Burgund;Burgonha
;Steingruen;Stone green;Vert pierre;Verde piedra;Verde roccia;Steengroen;Stengrön;Verde pedra
;Steingrün;Stone green;Vert pierre;Verde piedra;Verde roccia;Steengroen;Stengrön;Verde pedra
;Taninrot;Tannin red;Rouge tanin;Rojo carmín;Rosso tanino;Taninrood;Tanninröd;Vermelho tanino
;Marineblau;Navy blue;Bleu marine;Azul marino;Blu marino;Marineblauw;Marinblå;Azul marinho
;Naturbraun;Natural brown;Brun nature;Marrón tierra;Marrone naturale;Natuurlijk bruin;Naturbrun;Castanho natural
;Naturbraun/Nachtblau;Natural brown/night blue;Brun nature/bleu nuit;Marrón tierra/Azul noche;Marrone naturale/blu notte;Natuurlijk bruin/nachtblauw;Naturbrun/nattblå;Castanho natural/azul noite
;Naturbraun/Nachtblau/Schwarz;Natural brown/night blue/black;Brun nature/bleu nuit/noir;Marrón tierra/Azul noche/Negro;Marrone naturale/blu notte/nero;Natuurlijk bruin/nachtblauw/zwart;Naturbrun/nattblå/svart;Castanho natural/azul noite/preto
;Naturbraun/Schwarz;Natural brown/black;Brun nature/noir;Marrón tierra/Negro;Marrone naturale/nero;Natuurlijk bruin/zwart;Naturbrun/svart;Castanho natural/preto
;Weiße Blinkleuchten;White direction indicators;Feux clignotants blancs;Intermitentes blancos;Indicatori di direzione bianchi;Witte knipperlichten;Vita blinkers;Luzes de mudança de direcção brancas
;Weiße Heckleuchten;White rear lights;Feux arrière blancs;Luces blancas posteriores;Fanali posteriori bianchi;Witte achterlichten;Vita baklyktor;Faróis traseiros brancos
;M Aerodynamikpaket;M aerodynamics package;Pack aérodynamique M;M piezas aerodinámicas;Kit aerodinamico M;M aërodynamica-pakket;M Aerodynamikpaket;Conjunto aerodinâmico M
;M Heckspoiler;M rear spoiler;Spoiler arrière M;M alerón trasero;Spoiler posteriore M;M achterspoiler;M Bakspoiler;Spoiler traseiro M
;Heckspoiler;Rear spoiler;Spoiler arrière;Alerón trasero;Spoiler posteriore;Achterspoiler;Bakspoiler;Spoiler traseiro
;Nebelscheinwerfer;Fog light;Phares antibrouillard;Faro antiniebla;Fari fendinebbia;Mistlampen;Dimljus;Faróis de nevoeiro
;Auspuffrohrblenden in Chrom;Chrome tailpipe trims;Enjoliveurs de pot d'échappement chrome;Embellecedores del tubo de escape en cromo;Terminali di scarico cromati;Uitlaatsierstukken chroom;Avgasrörförlängare i krom;Ponteiras do tubo de escape cromadas
;Auspuffrohrblende in Chrom;Chrome tailpipe trims;Enjoliveurs de pot d'échappement chrome;Embellecedores del tubo de escape en cromo;Terminali di scarico cromati;Uitlaatsierstukken chroom;Avgasrörförlängare i krom;Ponteira do tubo de escape cromada
#M Leiste;M Tür-Seitenleiste;M door rubbing strips;Baguette de portière M;M listón lateral de puerta;Listelli porta laterali M;M sierlijsten voor de portieren;M Dörr- och sidolister;Friso lateral da porta M
;Griffleiste Chrom;Grab, chrome;Enjoliveur de poignée chrome;Agarradero, cromo;Maniglia cromata;Handgreep in chroom;Grepplist, krom;Barra com pega incorporada cromada
;Schmutzfänger vorne;Front mudflaps;Pare-boue avant;Faldilla guardabarros delantera;Paraspruzzi anteriori;Spatlappen vóór;Stänkskydd fram;Palas pára-lamas dianteiras
;Schmutzfänger hinten;Rear mudflaps;Pare-boue arrière;Faldilla guardabarros posterior;Paraspruzzi posteriori;Spatlappen achter;Stänkskydd bak;Palas pára-lamas traseiras
;Aerodynamikpaket;Aerodynamics package;Pack aérodynamique ;Piezas aerodinámicas;Kit aerodinamico;Aërodynamicapakket;Aerodynamikpaket;Conjunto aerodinâmico
;Design Ziergitter;Designer ornamental grille;Calandre design;Rejilla embellecedora design;Griglia ornamentale design;Design-sierrooster;Designdekorationsgrill;Grelha decorativa de design
;Chrom-Line Frontscheibenrahmen;Chrome-Line windscreen frame;Cadre de pare-brise ligne chrome;Chrom-Line marco de parabrisas;Chrom-Line telaio parabrezza ;Chrome-Line voorruitframe;Chrom-Line vindruteram;Moldura do pára-brisa Chrom Line
;Chrom-Line Türgriffe;Chrome-Line door handles;Poignées de portières ligne chrome;Chrom-Line manijas de las puertas;Chrome-Line maniglie esterne delle porte;Chrome-Line handgreepen;Chrome-Line utvändiga dörrhandtag;Pegas para porta Chrom Line
;Chrom-Line Blende 3. Bremsleuchte;Chrome-Line high mounted brake light trim;Garniture de 3e feu stop ligne chrome;Chrom-Line pantalla de tercera luz de freno;Chrome-Line copertura terza luce d'arresto;Chrome-Line afdekking 3e remlicht;Chrome Line täckkåpa för extra bromsljus;Friso Chrom Line para a terceira luz de travagem
;Chrom-Line Heckklappen-Öffnungshilfe;Chrome-Line boot lid opener;Bec d'ouverture de hayon ligne chrome;Chrom-Line sistema de apertura de tapas de maletero;Chrome-Line sistema di apertura cofano posteriore;Chrome-Line opener voor de achterklep;Chrome-Line öppningshjälp till bagageluckan;Auxiliar de abertura da tampa do porta-bagagens Chrom Line
;Chrom-Line Frontziergitter;Chrome-Line front radiator grille;Calandre avant ligne chrome;Chrom-Line rejilla embellecedora delantera;Chrome-Line griglia frontale ;Chrome-Line frontsierrooster ;Chrome-Line frontdekorationsgrill;Grelha decorativa da parte da frente Chrom Line
;Chrom-Line Exterieur;Chrome-Line exterior;Extérieur ligne chrome ;Chrom-Line exterior;Chrom-Line esterno;Chrome-Line exterieur;Chrom-Line exteriör;Exterior Chrom Line
;Speedster-Abdeckung;Speedster cover;Toit speedster;Recubrimiento Speedster;Copertura Speedster;Speedster-afdekking;Speedsterkåpa;Cobertura Speedster
;Heckklappenträger;Boot lid rack;Porte-bagages de hayon;Soporte de las tapas de maletero;Portapacchi per cofano posteriore;Kofferrek;Pakethållare;Suporte da tampa do porta-bagagens
;Heckklappenträger Chrom;Chrome boot lid rack;Porte-bagages chrome ;Soporte de las tapas de maletero, cromo;Portapacchi per cofano posteriore cromato;Kofferrek chroom;Bakluckshållare krom;Suporte da tampa do porta-bagagens cromado
;Hartschalenkoffer;Hard-shell case;Valise à coque rigide;Maleta de cubierta dura;Valigia rigida;Stootvaste koffer;Hård väska;Mala de cobertura rígida
;Skiträger;Ski holder;Porte-skis;Soporte para esquís;Portasci per BMW Z3;Skihouder ;Skidhållare för Z3;Porta-esquis
;Überrollbügel;Roll bar;Arceaux de sécurité;Barra antivuelco;Roll bar per BMW Z3;Rolbeugel;Skyddsbågar för Z3;Estrutura protectora da cabeça (barra Santo António)
;Windschutz;Wind deflector;Déflecteur;Parabrisas;Deflettore;Bescherming tegen de wind;Vindskydd;Pára-vento
;Heckklappengriff in Chrom;Chrome boot lid opener;Poignée de hayon chrome;Asidero para tapa de maletero en cromo;Maniglia cofano posteriore cromata;Achterklep-handgreep in chroom;Baklucksgrill i krom;Pega da tampa do porta-bagagens cromada
;Chrom-Ziergitter;Ornamental chrome grille;Calandre chrome;Rejilla embellecedora en cromo;Griglia ornamentale cromata;Chroom-sierrooster;Dekorationsgrill i krom;Grelha decorativa cromada
;Blink- und Heckleuchten in Chrom;Direction indicators and rear lights in chrome;Clignotants et feux arrière chrome;Intermitentes y luces posteriores en cromo;Gruppo faro e indicatore di direzione, cromato;Knipper- en achterlichten in chroom;Blinkers och bakljus, förkromade;Luzes de mudança de direcção e faróis traseiros cromados
;Titan-Line Exterieur;Titanium line exterior ;Extérieur ligne titane ;Exterior Titan-Line;Titan-Line Exterieur;Titan-Line exterieur;Titan-Line exteriör;Exterior Titan Line
;Dachreling;Roof railing;Rails de toit;Barra de techo;Barre portatutto;Dakrailing;Takreling;Barras longitudinais de tejadilho
;Sportpaket;Aerodynamic kit;Pack sport;Paquete deportivo;Kit aerodinamico;Sportpakket;Aerodynamikpaket;Conjunto de componentes desportivos
;Frontbügel in Chrom;Chrome nudgebar;Pare-buffle chrome;Estribo delantero en cromo;Barra frontale cromata;Bull bar in chroom;Skyddsbåge i krom;Aro frontal cromado
;Frontbügel in Wagenfarbe;Nudgebar in vehicle colour;Pare-buffle du coloris de la voiture;Estribo delantero en el color del vehículo;Barra frontale nel colore della carrozzeria;Bull bar in carrosseriekleur;Skyddsbåge i bilens färg;Aro frontal na cor do veículo
;Unterfahrschutz;Underride protection;Protection inférieure;Barra protectora;Protezione sottotelaio;Bodembeschermplaat;Underkörningsskydd;Protecção da parte inferior
;Seitenbeplankung;Body side panels;Bandeaux latéraux;Revestimiento lateral;Pannello sottoporta laterale;Zijbeplating;Sidoskydd;Painéis laterais
;Zusatzscheinwerfer;Additional headlight on roof railing;Projecteur supplémentaire ;Faro adicional;Fari ausiliari;Extra koplampen;Extrastrålkastare;Faróis suplementares
;Scheinwerfer-Reinigungsanlage;Headlight cleaning system;Lave-phares;Equipo limpiafaros;Impianto lavafari;Koplampreinigingsinstallatie;Strålkastarrengöring;Instalação de limpeza dos faróis
;M Leiste;M door rubbing strip;Baguette M;M listón;Listello M;M strip;M list;Friso M
;M Heckspoiler;M rear spoiler;Spoiler arrière M;M alerón trasero;Spoiler posteriore M;M achterspoiler;M bakspoiler;Spoiler traseiro M
;M Spiegel;M exterior mirror;Rétroviseur M;M espejo;Specchio esterno M;M spiegel;M spegel;Espelho M
;Hardtop;Hardtop;Hardtop;Techo rígido;Hardtop;Hardtop;Hardtop;Hardtop
;Alu-Fußstütze;Aluminum footrest;Repose-pied en aluminium;Reposapiés de aluminio;Appoggiapiedi in alluminio;Aluminium voetsteun;Aluminiumfotstöd;Apoio para o pé em alumínio 
;Aluminium-Schaltknauf mit schwarzem Ring, mattchrom;Aluminum gear lever knob with black ring, matt chrome;Pommeau de levier de vitesses en aluminium à bague noire, chromé mat;Empuñadura de aluminio de la palanca de cambio con anillo negro, en cromo mate;Impugnatura leva del cambio in alluminio con anello nero, cromatura opaca;Aluminium schakelknop met zwarte ring, mat chroom;Växelspaksknopp i aluminium med svart ring, matt förkromad;Punho de mudanças em alumínio com anel preto, cromado mate
;Aluminium-Schaltknauf mit schwarzem Ring, poliertes Alu;Aluminum gear lever knob with black ring, polished aluminum;Pommeau de levier de vitesses en aluminium à bague noire, aluminium poli;Empuñadura de aluminio de la palanca de cambio con anillo negro, en aluminio pulido;Impugnatura leva del cambio in alluminio con anello nero, alluminio lucidato;Aluminium schakelknop met zwarte ring, gepolijst aluminium;Växelspaksknopp i aluminium med svart ring, polerat aluminium;Punho de mudanças em alumínio com anel preto, alumínio polido
;Alu-Pedale;Aluminum pedals;Pédales en aluminium;Pedales de aluminio;Pedali in alluminio;Aluminium pedalen;Aluminiumpedaler;Pedal em alumínio 
;Beleuchtete Einstiegsleiste;Illuminated entry strip;Bas de caisse éclairé;Molduras coberteras de entrada iluminadas;Batticalcagno illuminato;Verlichte dorpellijsten;Instigningslist med belysning;Friso do estribo com luz
;BMW Autotelefon Apollo;BMW Apollo car phone;Téléphone de voiture BMW Apollo;Teléfono BMW Apollo para vehículo;Autotelefono BMW Apollo;BMW autotelefoon Apollo;BMW biltelefon Apollo;Telefone de automóvel BMW Apollo
;BMW Autotelefon Cordless;BMW Cordless car phone;Téléphone de voiture BMW Cordless;Teléfono BMW Cordless para vehículo;Autotelefono BMW Cordless;BMW autotelefoon Cordless;BMW biltelefon Cordless;Telefone de automóvel sem fios BMW
;BMW Autotelefon Professional;BMW Professional car phone;Téléphone de voiture BMW Professional;Teléfono BMW Professional para vehículo;Autotelefono BMW Professional;BMW autotelefoon Professional;BMW biltelefon Professional;Telefone de automóvel BMW Professional
;BMW Autotelefone;BMW car phones;Téléphones de voiture BMW;Teléfonos para automóvil BMW ;Autotelefoni BMW;BMW autotelefoons;BMW biltelefoner;Telefone de automóvel BMW
;BMW Business Kassette;BMW Business cassette;BMW Business cassette;BMW Business cassette;BMW Business cassette;BMW Business cassette;BMW Business cassette;Leitor de cassetes BMW Business
;BMW Business CD;BMW Business CD;BMW Business CD;BMW Business CD;CD BMW Business;BMW Business CD;BMW Business CD;Leitor de CD BMW Business
;BMW Business MD;BMW Business MD;BMW Business MD;BMW Business MD;MD BMW Business;BMW Business MD;BMW Business MD;Leitor de MD BMW Business
;BMW Professional CD;BMW Professional CD;BMW Professional CD;BMW Professional CD;CD BMW Professional;BMW Professional CD;BMW Professional CD;Leitor de CD BMW Professional
;BMW Radio Professional;BMW Radio Professional;BMW Radio Professional;BMW Radio Professional;Radio BMW Professional;BMW radio Professional;BMW radio Professional;Rádio BMW Professional
;BMW Radio Reverse;BMW Radio Reverse;BMW Radio Reverse;BMW Radio Reverse;BMW Radio Reverse;BMW radio Reverse;BMW radio Reverse;Rádio BMW Reverse
;BMW Radionavigation;BMW radio navigation;BMW Radionavigation;Radionavegación BMW;Radio BMW con navigazione;BMW radionavigatie;BMW radionavigation;Equipamento de navegação por rádio BMW
;CD-Wechsler 6-fach;Six CD changer;Changeur 6 CD;Cambiador de CD para 6 CDs;Cambia-CD per 6 CD;6 CD-wisselaar;CD-växlare för 6 CD;CD-Changer para 6 CDs
;DVD-Wechsler 6-fach;Six DVD changer;Changeur 6 DVD;Cambiador de DVD para 6 DVDs;Cambia-DVD per 6 DVD;6 DVD-wisselaar;DVD-växlare för 6 DVD;DVD-Changer para 6 DVD
;Chrome line Lenkradkranz ;Chrome line steering wheel rim;Jante de volant Chrome line;Corona del volante línea cromada ;Corona del volante Chrome line;Chrome line stuurwielrand ;Chrome line rattkrans ;Coroa de volante Chrome Line
;Edelholzausführung Eschenmaser dunkel;High-grade wood version, dark variegated ash;Version frêne grain foncé;Equipamiento de madera noble en fresno veteado oscuro;Versione in legno pregiato  frassino venato scuro;Edelhoutuitvoering donker essenhout;Ädelträutförande masurask mörk;Modelo em madeira preciosa, freixo escuro
;Edelholzausführung Eschenmaser hell;High-grade wood version, light variegated ash;Version frêne grain clair;Equipamiento de madera noble en fresno veteado claro;Versione in legno pregiato frassino venato chiaro;Edelhoutuitvoering licht essenhout;Ädelträutförande masurask ljus;Modelo em madeira preciosa, freixo claro
;Edelholzausführung Kirsche dunkel, matt;High-grade wood version, dark cherry, matt;Version merisier foncé, mat;Equipamiento de madera noble en cerezo oscuro mate;Versione in legno pregiato ciliegio scuro, opaco;Edelhoutuitvoering donker kersen, mat;Ädelträutförande körsbär mörk, matt;Modelo em madeira preciosa, cerejeira escura mate
;Edelholzausführung Kirsche hell, matt;High-grade wood version, light cherry, matt;Version merisier clair, mat;Equipamiento de madera noble en cerezo claro mate;Versione in legno pregiato ciliegio chiaro, opaco;Edelhoutuitvoering licht kersen, mat;Ädelträutförande körsbär ljus, matt;Modelo em madeira preciosa, cerejeira clara mate
;Edelholz-Innenaustattung, Ahorn, hell;High-grade wood interior trim, maple, light;Finition intérieure érable clair;Equipamiento interior en madera noble, arce claro;Finiture interne in legno pregiato, acero, chiaro;Edelhouten interieur-uitrusting, licht ahorn;Ädelträinredning, lönn, ljus;Equipamento interior em madeira preciosa, ácer claro
;Edelholz-Innenaustattung, Birke;High-grade wood interior trim, birch;Finition intérieure bouleau;Equipamiento interior en madera noble, abedul;Finiture interne in legno pregiato, betulla;Edelhouten interieur-uitrusting, berken;Ädelträinredning, björk;Equipamento interior em madeira preciosa, bétula
;Edelholz-Innenaustattung, Myrte;High-grade wood interior trim, myrtle;Finition intérieure myrte;Equipamiento interior en madera noble, mirto;Finiture interne in legno pregiato, mirto;Edelhouten interieur-uitrusting, myrthe;Ädelträinredning, myrten;Equipamento interior em madeira preciosa, mirto
;Edelholz-Innenaustattung, Nussbaum-Wurzel, dunkel;High-grade wood interior trim, burr walnut, dark;Finition intérieure ronce de noyer foncée;Equipamiento interior en madera noble, raíz de nogal, oscuro;Finiture interne in legno pregiato, radica di noce, scura;Edelhouten interieur-uitrusting, donker wortelnotenhout;Ädelträinredning, valnötsrot mörk;Equipamento interior em madeira preciosa, raiz de nogueira escura
;Edelholz-Innenaustattung, Nussbaum-Wurzel;High-grade wood interior trim, burr walnut;Finition intérieure ronce de noyer;Equipamiento interior en madera noble, raíz de nogal;Finiture interne in legno pregiato, radica di noce;Edelhouten interieur-uitrusting, wortelnotenhout;Ädelträinredning, valnötsrot;Equipamento interior em madeira preciosa, raiz de nogueira
;Edelholz-Innenaustattung, Pappel dunkel;High-grade wood interior trim, poplar, dark;Finition intérieure peuplier foncé;Equipamiento interior en madera noble, álamo oscuro;Finiture interne in legno pregiato, pioppo scuro;Edelhouten interieur-uitrusting, donker populier;Ädelträinredning, poppel mörk;Equipamento interior em madeira preciosa, choupo
;Edelholz-Innenaustattung, Pappel hell;High-grade wood interior trim, poplar, light;Finition intérieure peuplier clair;Equipamiento interior en madera noble, álamo claro;Finiture interne in legno pregiato, pioppo chiaro;Edelhouten interieur-uitrusting, licht populier;Ädelträinredning, poppel ljus;Equipamento interior em madeira preciosa, choupo claro
;Edelholz-Innenaustattung, Vavona;High-grade wood interior trim, vavona;Finition intérieure vavona;Equipamiento interior en madera noble, secuoya;Finiture interne in legno pregiato, vavona;Edelhouten interieur-uitrusting, vavona;Ädelträinredning, vavona;Equipamento interior em madeira preciosa, vavona
;Freisprecheinrichtung Cordless;Hands-free kit, Cordless;Dispositif mains libres Cordless;Dispositivo manos libres Cordless;Sistema viva voce Cordless;Handsfree-systeem Cordless;Handsfreeutrustning Cordless;Equipamento de mãos livres sem fios
;Freisprecheinrichtung Seitenkonsole Ericsson;Hands-free kit, side console, Ericsson;Dispositif mains libres console latérale Ericsson;Dispositivo manos libres consola lateral Ericsson;Sistema viva voce mensola laterale Ericsson;Handsfree-systeem zijconsole Ericsson;Handsfreeutrustning sidokonsol Ericsson;Equipamento de mãos livres para consola lateral Ericsson
;Freisprecheinrichtung Seitenkonsole Motorola;Hands-free kit, side console, Motorola;Dispositif mains libres console latérale Motorola;Dispositivo manos libres consola lateral Motorola;Sistema viva voce mensola laterale Motorola;Handsfree-systeem zijconsole Motorola;Handsfreeutrustning sidokonsol Motorola;Equipamento de mãos livres para consola lateral Motorola
;Freisprecheinrichtung Seitenkonsole Nokia;Hands-free kit, side console, Nokia;Dispositif mains libres console latérale Nokia;Dispositivo manos libres consola lateral Nokia;Sistema viva voce mensola laterale Nokia;Handsfree-systeem zijconsole Nokia;Handsfreeutrustning sidokonsol Nokia;Equipamento de mãos livres para consola lateral Nokia
;Freisprecheinrichtung Seitenkonsole Siemens;Hands-free kit, side console, Siemens;Dispositif mains libres console latérale Siemens;Dispositivo manos libres consola lateral Siemens;Sistema viva voce mensola laterale Siemens;Handsfree-systeem zijconsole Siemens;Handsfreeutrustning sidokonsol Siemens;Equipamento de mãos livres para consola lateral Siemens
;Freisprecheinrichtungen Seitenkonsole;Hands-free kits, side console;Dispositifs mains libres console latérale ;Dispositivos manos libres consola lateral;Sistemi viva voce mensola laterale;Handsfree-systemen zijconsole;Handsfreeutrustningar sidokonsol;Equipamento mãos livres para consola lateral
;Fußmatten;Floor mats;Tapis de sol;Alfombrillas;Tappetini;Vloermatten;Textilmattor;Tapetes
;Fußmatten Alu Line;Floor mats, aluminum line;Tapis de sol Alu Line;Alfombrillas Alu Line;Tappetini Alu Line;Vloermatten Alu Line;Textilmattor Alu Line;Tapetes Alu Line
;Fußmatten City;Floor mats, City;Tapis de sol City;Alfombrillas City;Tappetini City;Vloermatten City;Textilmattor City;Tapetes City
;Fußmatten Country;Floor mats, Country;Tapis de sol Country;Alfombrillas Country;Tappetini Country;Vloermatten Country;Textilmattor Country;Tapetes Country
;Fußmatten Velours;Floor mats, Velour;Tapis de sol Velours;Alfombrillas Velours;Tappetini velluto;Vloermatten velours;Textilmattor Velours;Tapetes Velours
;Fußstützen;Footrests;Repose-pieds;Reposapiés;Appoggiapiedi;Voetsteunen;Fotstöd;Apoios para os pés
;Getränkehalterung;Drinks holder;Porte-boisson;Bandejas de bebidas;Portalattine;Bekerhouder;Dryckeshållare;Suporte para bebidas
;Gummifußmatten;Rubber floor mats;Tapis de sol en caoutchouc;Alfombrillas de goma;Tappetini in gomma;Rubber vloermatten;Gummimattor;Tapetes de borracha
;Hallogenleseleuchte;Halogen reading light;Liseuse halogène;Lámpara halógena de lectura;Luce di lettura alogena;Halogeen leeslamp;Halogenläslampa;Luz de leitura de halogéneo
;Halogenleseleuchte;Halogen reading light;Liseuse halogène;Lámpara halógena de lectura;Luce di lettura alogena;Halogeen leeslamp;Halogenläslampa;Luz de leitura de halogéneo
;Handbremsgriff, mattchrom;Parking brake grip, matt chrome;Poignée de frein à main, chrome mat;Empuñadura del freno de mano, cromo mate;Maniglia freno a mano, cromatura opaca;Handremhefboom, mat chroom;Handbromshandtag, matt förkromat;Punho do travão de mão, cromado mate
;Handbremsgriff, Nussbaum-Wurzel, dunkel;Parking brake grip, burr walnut, dark;Poignée de frein à main, ronce de noyer foncée;Empuñadura del freno de mano, raíz de nogal, oscuro;Maniglia freno a mano, radica di noce, scura;Handremhefboom, donker wortelnotenhout;Handbromshandtag, valnötsrot mörk;Punho do travão de mão, raiz de nogueira escura
;Handbremsgriffe;Parking brake grips;Poignées de frein à main;Empuñaduras del freno de mano;Maniglie freno a mano;Handremhefboom;Handbromshandtag;Punhos de travão de mão
;Hardtop;Hardtop;Hardtop;Techo rígido;Hardtop;Hardtop;Hardtop;Hardtop
;Heckscheibenwischer;Rear window wiper;Essuie-glace arrière;Limpiaparabrisas trasero;Tergilunotto;Achterruitenwisser;Bakrutetorkare;Limpa-pára-brisas do óculo traseiro
;Holz Sportlenkradkranz, schwarz;Wood sport steering wheel rim, black;Jante de volant sport, bois noir;Volante deportivo de madera, negro;Corona del volante sportivo in legno, nera;Houten sportstuurwielrand, zwart;Sportrattkrans i trä, svart;Coroa de volante desportivo em madeira, preto
;Holz/Lederlenkradkranz Eschenmaser dunkel;Wood/leather-covered steering wheel rim, variegated ash, dark;Jante de volant cuir/bois, hêtre foncé;Volante de madera y cuero, fresno oscuro;Corona del volante in legno/pelle, frassino scuro;Houten/lederen stuurwielrand, donker essen;Trä- och läderrattkrans, ask mörk;Coroa de volante em madeira/pele, freixo escuro
;Holz/Lederlenkradkranz Eschenmaser hell;Wood/leather-covered steering wheel rim, variegated ash, light;Jante de volant cuir/bois, hêtre clair;Volante de madera y cuero, fresno claro;Corona del volante in legno/pelle, frassino chiaro;Houten/lederen stuurwielrand, licht essen;Trä- och läderrattkrans, ask ljus;Coroa de volante em madeira/pele, freixo claro
;Holz/Lederlenkradkranz Kirsche dunkel;Wood/leather-covered steering wheel rim, cherry, dark;Jante de volant cuir/bois, merisier foncé;Volante de madera y cuero, cerezo oscuro;Corona del volante in legno/pelle, ciliegio scuro;Houten/lederen stuurwielrand, donker kersen;Trä- och läderrattkrans, körsbär mörk;Coroa de volante em madeira/pele, cerejeira escura
;Holz/Lederlenkradkranz Kirsche hell;Wood/leather-covered steering wheel rim, cherry, light;Jante de volant cuir/bois, merisier clair;Volante de madera y cuero, cerezo claro;Corona del volante in legno/pelle, ciliegio chiaro;Houten/lederen stuurwielrand, licht kersen;Trä- och läderrattkrans, körsbär mörk;Coroa de volante em madeira/pele, cerejeira clara
;Holz/Leder-Lenkradkranz, Ahorn hell;Wood/leather-covered steering wheel rim, maple, light;Jante de volant cuir/bois, érable clair;Volante de madera y cuero, arce claro;Corona del volante in legno/pelle, acero chiaro;Houten/lederen stuurwielrand, licht ahorn;Trä- och läderrattkrans, lönn ljus;Coroa de volante em madeira/pele, ácer claro
;Holz/Leder-Lenkradkranz, Myrte;Wood/leather-covered steering wheel rim, myrtle;Jante de volant cuir/bois, myrte;Volante de madera y cuero, mirto;Corona del volante in legno/pelle, mirto;Houten/lederen stuurwielrand, myrthe;Trä- och läderrattkrans, myrten;Coroa de volante em madeira/pele, mirto
;Holz/Leder-Lenkradkranz, Nussbaum-Wurzel;Wood/leather-covered steering wheel rim, burr walnut;Jante de volant cuir/bois, ronce de noyer;Volante de madera y cuero, raíz de nogal;Corona del volante in legno/pelle, radica di noce;Houten/lederen stuurwielrand, wortelnotenhout;Trä- och läderrattkrans, valnötsrot;Coroa de volante em madeira/pele, raiz de nogueira
;Holz/Leder-Lenkradkranz, Muschelahorn;Wood/leather-covered steering wheel rim, shell maple;Jante de volant cuir/bois, loupe d'érable;Volante de madera y cuero, arce;Corona del volante in legno/pelle, acero musivo;Houten/lederen stuurwielrand, ahorn;Trä- och läderrattkrans, lönn;Coroa de volante em madeira/pele, ácer do Oregão
;Holz/Leder-Lenkradkranz, Vavona;Wood/leather-covered steering wheel rim, vavona;Jante de volant cuir/bois, vavona;Volante de madera y cuero, secuoya;Corona del volante in legno/pelle, vavona;Houten/lederen stuurwielrand, vavona;Trä- och läderrattkrans, vavona;Coroa de volante em madeira/pele, vavona
;Holz-Handbremsgriff, Ahorn hell;Wood parking brake grip, maple, light;Poignée de frein à main, érable clair;Empuñadura de madera del freno de mano, arce claro;Maniglia del freno a mano in legno, acero chiaro;Houten handremhefboom, licht ahorn;Handbromshandtag i trä, lönn ljus;Punho do travão de mão em madeira, ácer claro
;Holz-Handbremsgriff, Myrte;Wood parking brake grip, myrtle;Poignée de frein à main, myrte;Empuñadura de madera del freno de mano, mirto;Maniglia del freno a mano in legno, mirto;Houten handremhefboom, myrthe;Handbromshandtag i trä, myrten;Punho do travão de mão em madeira, mirto
;Holz-Lenkradkranz Platane;Wood steering wheel rim, 'plane tree';Jante de volant, platane;Corona de madera del volante 'Plátano' ;Corona del volante in legno, 'platano';Houten stuurwielrand 'plataan';Rattkrans i trä 'Platan' ;Coroa de volante em madeira, plátano
;Holz-Schaltknauf mit Chromring, Ahorn hell;Wood gear lever knob, maple, light, with chrome ring;Pommeau de levier de vitesses, érable clair avec bague chromée;Empuñadura de madera de la palanca de cambio, arce claro con anillo de cromo;Impugnatura della leva del cambio in legno, acero chiaro con anello cromato;Houten schakelknop, licht ahorn met verchroomde ring;Växelspaksknopp i trä, ljus lönn med kromring;Punho de mudanças em madeira com anel cromado, ácer claro
;Holz-Schaltknauf mit Chromring, Ahorn;Wood gear lever knob, maple, with chrome ring;Pommeau de levier de vitesses, érable avec bague chromée;Empuñadura de madera de la palanca de cambio, arce con anillo de cromo;Impugnatura della leva del cambio in legno, acero con anello cromato;Houten schakelknop, ahorn met verchroomde ring;Växelspaksknopp i trä, lönn med kromring;Punho de mudanças em madeira com anel cromado, ácer 
;Holz-Schaltknauf, Ahorn;Wood gear lever knob, maple;Pommeau de levier de vitesses, érable;Empuñadura de madera de la palanca de cambio, arce;Impugnatura della leva del cambio in legno, acero con;Houten schakelknop, ahorn;Växelspaksknopp i trä, lönn;Punho de mudanças em madeira, ácer 
;Holz-Schaltknauf, Myrte;Wood gear lever knob, myrtle;Pommeau de levier de vitesses, myrte;Empuñadura de madera de la palanca de cambio, mirto;Impugnatura della leva del cambio in legno, mirto;Houten schakelknop, myrthe;Växelspaksknopp i trä, myrten;Punho de mudanças em madeira, mirto
